task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
2020:Asian Americans / Democrat,Asian Americans / Democrat,76.85927770859277,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,803,803,58.530418698757856,93.4026946062206,True,34.87227590746275,34.87227590746275,75.5089632609071,76.26327195896819,-16.97854456214924,17.139422647252417,0.7543086980610951,4.684005802241998,29.433961407159657
2020:Black Americans / Democrat,Black Americans / Democrat,79.29751552795031,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1610,1610,68.59113138057005,103.19156606489621,True,34.60043468432616,31.408868619429953,85.56967594271929,86.05214341764379,-16.97854456214924,17.139422647252417,0.4824674749245048,4.684005802241998,29.433961407159657
2020:Christians / Democrat,Christians / Democrat,64.73093093093092,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1665,1665,46.41584122647032,81.2487401427773,True,34.83289891630697,34.83289891630697,63.39438578861956,64.10931749552488,-16.97854456214924,17.139422647252417,0.7149317069053183,4.684005802241998,29.433961407159657
2020:Conservatives / Democrat,Conservatives / Democrat,35.64436407474382,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1659,1659,11.34680563068003,46.56274265526973,True,35.2159370245897,35.2159370245897,28.32535019282927,29.423320008017313,-16.97854456214924,17.139422647252417,1.0979698151880442,4.684005802241998,29.433961407159657
2020:Democratic Party / Democrat,Democratic Party / Democrat,74.37744276940256,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1791,1791,66.69962813179906,101.71080697906665,True,35.01117884726759,33.30037186820094,83.6781726939483,84.57138433181423,-16.97854456214924,17.139422647252417,0.8932116378659316,4.684005802241998,29.433961407159657
2020:Gays and Lesbians / Democrat,Gays and Lesbians / Democrat,78.59603841536615,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1666,1666,72.02614836423204,106.74589206207425,True,34.719743697842205,27.973851635767957,89.00469292638128,89.60646941482183,-16.97854456214924,17.139422647252417,0.6017764884405494,4.684005802241998,29.433961407159657
2020:Jews / Democrat,Jews / Democrat,78.18083182640144,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1659,1659,58.89527515741348,93.67161715087606,True,34.77634199346258,34.77634199346258,75.87381971956272,76.53219450362364,-16.97854456214924,17.139422647252417,0.6583747840609249,4.684005802241998,29.433961407159657
2020:Liberals / Democrat,Liberals / Democrat,74.21308523409364,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1666,1666,67.89213865017916,102.94783212644606,True,35.055693476266896,32.10786134982084,84.8706832123284,85.80840947919364,-16.97854456214924,17.139422647252417,0.9377262668652406,4.684005802241998,29.433961407159657
2020:Muslims / Democrat,Muslims / Democrat,70.39203860072377,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1658,1658,52.76266718152063,87.6813201246505,True,34.91865294312987,34.91865294312987,69.74121174366987,70.54189747739808,-16.97854456214924,17.139422647252417,0.8006857337282156,4.684005802241998,29.433961407159657
2020:Republican Party / Democrat,Republican Party / Democrat,16.80891364902507,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1795,1795,6.925398739331445,41.98965973846704,True,35.0642609991356,35.0642609991356,23.903943301480684,24.850237091214627,-16.97854456214924,17.139422647252417,0.946293789733943,4.684005802241998,29.433961407159657
2020:White Americans / Democrat,White Americans / Democrat,69.7076059850374,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,1604,1604,46.63228687382604,81.28446722486512,True,34.652180351039085,34.652180351039085,63.61083143597528,64.14504457761271,-16.97854456214924,17.139422647252417,0.5342131416374301,4.684005802241998,29.433961407159657
2020:Asian Americans / Independent,Asian Americans / Independent,72.28767123287672,alg1,0.1,0.005,0.005,0.09000000000000001,abs_005_005,657,657,51.58739115733884,86.74359144625289,True,35.15620028891405,35.15620028891405,68.56593571948808,69.60416879900048,-16.97854456214924,17.139422647252417,1.0382330795123949,4.684005802241998,29.433961407159657
