task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
2020:Asian Americans / Democrat,Asian Americans / Democrat,76.85927770859277,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,803,803,75.69270149896897,76.07953372090631,False,0.3868322219373397,0.3868322219373397,75.69270149896897,76.07953372090631,0.0,0.0,0.3868322219373397,0.0,0.0
2020:Black Americans / Democrat,Black Americans / Democrat,79.29751552795031,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1610,1610,85.6871977530771,85.93462160728598,False,0.24742385420887558,0.24742385420887558,85.6871977530771,85.93462160728598,0.0,0.0,0.24742385420887558,0.0,0.0
2020:Christians / Democrat,Christians / Democrat,64.73093093093092,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1665,1665,63.5685323847002,63.93517089944424,False,0.3666385147440394,0.3666385147440394,63.5685323847002,63.93517089944424,0.0,0.0,0.3666385147440394,0.0,0.0
2020:Conservatives / Democrat,Conservatives / Democrat,35.64436407474382,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1659,1659,28.592799103078267,29.155871097768316,False,0.5630719946900484,0.5630719946900484,28.592799103078267,29.155871097768316,0.0,0.0,0.5630719946900484,0.0,0.0
2020:Democratic Party / Democrat,Democratic Party / Democrat,74.37744276940256,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1791,1791,83.89574559610323,84.3538114296593,False,0.458065833556077,0.458065833556077,83.89574559610323,84.3538114296593,0.0,0.0,0.458065833556077,0.0,0.0
2020:Gays and Lesbians / Democrat,Gays and Lesbians / Democrat,78.59603841536615,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1666,1666,89.15127661549602,89.4598857257071,False,0.30860911021107995,0.30860911021107995,89.15127661549602,89.4598857257071,0.0,0.0,0.30860911021107995,0.0,0.0
2020:Jews / Democrat,Jews / Democrat,78.18083182640144,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1659,1659,76.03418990105297,76.37182432213339,False,0.3376344210804234,0.3376344210804234,76.03418990105297,76.37182432213339,0.0,0.0,0.3376344210804234,0.0,0.0
2020:Liberals / Democrat,Liberals / Democrat,74.21308523409364,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1666,1666,85.09909920766432,85.57999348385772,False,0.4808942761933963,0.4808942761933963,85.09909920766432,85.57999348385772,0.0,0.0,0.4808942761933963,0.0,0.0
2020:Muslims / Democrat,Muslims / Democrat,70.39203860072377,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1658,1658,69.93624672912696,70.34686249194098,False,0.4106157628140181,0.4106157628140181,69.93624672912696,70.34686249194098,0.0,0.0,0.4106157628140181,0.0,0.0
2020:Republican Party / Democrat,Republican Party / Democrat,16.80891364902507,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1795,1795,24.134446216350337,24.619734176344974,False,0.48528795999463625,0.48528795999463625,24.134446216350337,24.619734176344974,0.0,0.0,0.48528795999463625,0.0,0.0
2020:White Americans / Democrat,White Americans / Democrat,69.7076059850374,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1604,1604,63.74095771139311,64.01491830219487,False,0.2739605908017637,0.2739605908017637,63.74095771139311,64.01491830219487,0.0,0.0,0.2739605908017637,0.0,0.0
2020:Asian Americans / Independent,Asian Americans / Independent,72.28767123287672,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,657,657,68.81883366063275,69.35127085785581,False,0.5324371972230608,0.5324371972230608,68.81883366063275,69.35127085785581,0.0,0.0,0.5324371972230608,0.0,0.0
2020:Black Americans / Independent,Black Americans / Independent,71.57042253521126,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1420,1420,75.5671526134488,76.19690577384392,False,0.6297531603951256,0.6297531603951256,75.5671526134488,76.19690577384392,0.0,0.0,0.6297531603951256,0.0,0.0
2020:Christians / Independent,Christians / Independent,68.019795221843,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1465,1465,63.81548639375356,64.24575112624325,False,0.43026473248968955,0.43026473248968955,63.81548639375356,64.24575112624325,0.0,0.0,0.43026473248968955,0.0,0.0
2020:Conservatives / Independent,Conservatives / Independent,52.13410483321988,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1469,1469,49.468429173947655,50.52609409137658,False,1.057664917428923,1.057664917428923,49.468429173947655,50.52609409137658,0.0,0.0,1.057664917428923,0.0,0.0
2020:Democratic Party / Independent,Democratic Party / Independent,41.77846534653465,synth_only,0.15,0.005,0.005,0.13999999999999999,abs_005_005,1616,1616,52.16702686450227,53.48107465546861,False,1.3140477909663417,1.3140477909663417,52.16702686450227,53.48107465546861,0.0,0.0,1.3140477909663417,0.0,0.0
