task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
model-61,model-61,0.5789872322008224,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5390127975724748,0.606602601741158,True,0.06758980416868321,0.06758980416868321,,,,,,,
model-19,model-19,0.5,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4568404692915291,0.5276400941068389,True,0.07079962481530977,0.07079962481530977,,,,,,,
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4301273709936921,0.4966257533683618,True,0.0664983823746697,0.0664983823746697,,,,,,,
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4957186394613614,0.5616132811594194,True,0.06589464169805803,0.06589464169805803,,,,,,,
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5457769547801905,0.612234587691381,True,0.06645763291119045,0.06645763291119045,,,,,,,
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.55473325342189,0.6212579791104316,True,0.06652472568854162,0.06652472568854162,,,,,,,
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5287853413709409,0.594599800770195,True,0.06581445939925412,0.06581445939925412,,,,,,,
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5320624695634131,0.5979312811702833,True,0.06586881160687019,0.06586881160687019,,,,,,,
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4894585352260885,0.5557966726741139,True,0.06633813744802541,0.06633813744802541,,,,,,,
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4811135113447208,0.5472240290400534,True,0.0661105176953326,0.0661105176953326,,,,,,,
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5014521325030958,0.5664178432706991,True,0.06496571076760327,0.06496571076760327,,,,,,,
model-46,model-46,0.5579974271012007,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5399027094530835,0.6075225818059431,True,0.0676198723528596,0.0676198723528596,,,,,,,
model-32,model-32,0.4424595941183619,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4143790419146185,0.4820519075005861,True,0.06767286558596758,0.06767286558596758,,,,,,,
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4641842005243243,0.5315468977194397,True,0.06736269719511545,0.06736269719511545,,,,,,,
deepseek-v4-ch3-thinking-text,deepseek-v4-ch3-thinking-text,0.4734115495962212,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4521826334983538,0.5186087131388105,True,0.06642607964045671,0.06642607964045671,,,,,,,
deepseek-v4-pro-ch1-text,deepseek-v4-pro-ch1-text,0.5198769522006625,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4818973624529323,0.5490959101945104,True,0.06719854774157813,0.06719854774157813,,,,,,,
deepseek-v4-pro-ch1-thinking-text,deepseek-v4-pro-ch1-thinking-text,0.5123079464728234,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4796847861542312,0.5461958859451627,True,0.06651109979093145,0.06651109979093145,,,,,,,
model-71,model-71,0.5180463749868849,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4715937481155352,0.5383184339466877,True,0.06672468583115243,0.06672468583115243,,,,,,,
model-06,model-06,0.502183908045977,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4729974390370401,0.5423386535805271,True,0.06934121454348702,0.06934121454348702,,,,,,,
model-55,model-55,0.5201383238405207,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.496341084996554,0.5641092427638051,True,0.06776815776725115,0.06776815776725115,,,,,,,
model-28,model-28,0.4916529379461834,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4603444808200867,0.5268331320019953,True,0.06648865118190861,0.06648865118190861,,,,,,,
gemini-2.5-flash,gemini-2.5-flash,0.4651758279276203,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4412403362185545,0.5089573237392356,True,0.06771698752068112,0.06771698752068112,,,,,,,
gemini-2.5-pro,gemini-2.5-pro,0.5119755244755245,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.48678283331473,0.5545657995927203,True,0.06778296627799035,0.06778296627799035,,,,,,,
gemini-3-flash-thinking-minimal,gemini-3-flash-thinking-minimal,0.5005739330063654,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4627702438139673,0.5284960304490355,True,0.06572578663506817,0.06572578663506817,,,,,,,
gemini-3.1-flash-lite-preview,gemini-3.1-flash-lite-preview,0.4624213836477987,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4347349386649811,0.5021892058005855,True,0.06745426713560437,0.06745426713560437,,,,,,,
gemini-3.1-pro-preview,gemini-3.1-pro-preview,0.5633317104836092,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.5277949292487967,0.5926574058782901,True,0.0648624766294934,0.0648624766294934,,,,,,,
gpt-5.2,gpt-5.2,0.4514239656098872,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4205609030122428,0.4851082467398914,True,0.06454734372764859,0.06454734372764859,,,,,,,
gpt-5.2-high,gpt-5.2-high,0.4623909249563699,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.4267429341504936,0.4939367309176138,True,0.06719379676712023,0.06719379676712023,,,,,,,
gpt-5.3-chat-latest,gpt-5.3-chat-latest,0.4247920133111481,alg1,0.1,0.01,0.02,0.0699999999999999,prop_127,0.3894292688535432,0.4569229652292109,True,0.06749369637566771,0.06749369637566771,,,,,,,
