task_id,label,theta,algo,alpha,alloc,L,U,covered,width,width_clip
model-61,model-61,0.5789872322008224,alg3,0.2,prop_127,0.5619057572099143,0.5865111394583282,True,0.02460538224841391,0.02460538224841391
model-19,model-19,0.5,alg3,0.2,prop_127,0.4826024483124091,0.5066904815522185,True,0.024088033239809403,0.024088033239809403
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,alg3,0.2,prop_127,0.4525078095481042,0.4763614545765161,True,0.023853645028411863,0.023853645028411863
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,alg3,0.2,prop_127,0.5186858108491114,0.5413093962208402,True,0.022623585371728816,0.022623585371728816
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,alg3,0.2,prop_127,0.568766581250497,0.5921301426462152,True,0.02336356139571827,0.02336356139571827
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,alg3,0.2,prop_127,0.5775470445387437,0.6020782643866368,True,0.024531219847893082,0.024531219847893082
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,alg3,0.2,prop_127,0.5504633509359822,0.5741511272584648,True,0.023687776322482645,0.023687776322482645
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,alg3,0.2,prop_127,0.5555833354609092,0.5785175173206312,True,0.022934181859721958,0.022934181859721958
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,alg3,0.2,prop_127,0.5124792172960924,0.5359267732577504,True,0.02344755596165804,0.02344755596165804
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,alg3,0.2,prop_127,0.5035243529003558,0.5280585309262745,True,0.02453417802591873,0.02453417802591873
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,alg3,0.2,prop_127,0.5225970910783394,0.5473571807226622,True,0.024760089644322747,0.024760089644322747
model-46,model-46,0.5579974271012007,alg3,0.2,prop_127,0.5633427476242542,0.5870847356061332,False,0.023741987981878987,0.023741987981878987
