task_id,label,theta,algo,alpha,alloc,L,U,covered,width,width_clip
model-61,model-61,0.5789872322008224,synth_only,0.2,prop_127,0.5715573452517477,0.576755871372078,False,0.005198526120330227,0.005198526120330227
model-19,model-19,0.5,synth_only,0.2,prop_127,0.4909823580024836,0.497270544374104,False,0.00628818637162043,0.00628818637162043
claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,0.4531099967993172,synth_only,0.2,prop_127,0.4626096801640376,0.4668293213089024,False,0.0042196411448648385,0.0042196411448648385
claude-opus-4-5-20251101,claude-opus-4-5-20251101,0.5285029302077784,synth_only,0.2,prop_127,0.5276607217620535,0.531744729609837,True,0.004084007847783511,0.004084007847783511
claude-opus-4-6,claude-opus-4-6,0.5888912832668893,synth_only,0.2,prop_127,0.5784162681332025,0.5824043556499124,False,0.003988087516709982,0.003988087516709982
claude-opus-4-6-thinking,claude-opus-4-6-thinking,0.596816522136011,synth_only,0.2,prop_127,0.587247516690271,0.5912150378853415,False,0.003967521195070489,0.003967521195070489
claude-opus-4-7,claude-opus-4-7,0.5681009212730318,synth_only,0.2,prop_127,0.5607818005374003,0.5645125643655735,False,0.003730763828173167,0.003730763828173167
claude-opus-4-7-thinking,claude-opus-4-7-thinking,0.5697576838350992,synth_only,0.2,prop_127,0.5648247518512383,0.5685744164629271,False,0.0037496646116887966,0.0037496646116887966
claude-sonnet-4-5-20250929,claude-sonnet-4-5-20250929,0.528042442615851,synth_only,0.2,prop_127,0.5220237066422608,0.5260135537364137,False,0.003989847094152843,0.003989847094152843
claude-sonnet-4-5-20250929-thinking-32k,claude-sonnet-4-5-20250929-thinking-32k,0.5146166574738004,synth_only,0.2,prop_127,0.5136034877093054,0.5177841500722724,True,0.0041806623629669915,0.0041806623629669915
claude-sonnet-4-6,claude-sonnet-4-6,0.5379706445437141,synth_only,0.2,prop_127,0.5323050118562518,0.5364288637511185,False,0.004123851894866748,0.004123851894866748
model-46,model-46,0.5579974271012007,synth_only,0.2,prop_127,0.5722444086338985,0.577632943276895,False,0.00538853464299649,0.00538853464299649
model-32,model-32,0.4424595941183619,synth_only,0.2,prop_127,0.4468696936089558,0.4514869204941707,False,0.004617226885214931,0.004617226885214931
deepseek-v4-ch3-text,deepseek-v4-ch3-text,0.4907120743034056,synth_only,0.2,prop_127,0.4969289425101101,0.5014961875634719,False,0.0045672450533618125,0.0045672450533618125
deepseek-v4-ch3-thinking-text,deepseek-v4-ch3-thinking-text,0.4734115495962212,synth_only,0.2,prop_127,0.4845813202493083,0.4892622600096449,False,0.004680939760336622,0.004680939760336622
deepseek-v4-pro-ch1-text,deepseek-v4-pro-ch1-text,0.5198769522006625,synth_only,0.2,prop_127,0.5146640761074607,0.5193925843635842,False,0.004728508256123476,0.004728508256123476
deepseek-v4-pro-ch1-thinking-text,deepseek-v4-pro-ch1-thinking-text,0.5123079464728234,synth_only,0.2,prop_127,0.5120048152612235,0.5167587194594558,True,0.004753904198232295,0.004753904198232295
model-71,model-71,0.5180463749868849,synth_only,0.2,prop_127,0.5037603747633885,0.5079939746599571,False,0.004233599896568574,0.004233599896568574
model-06,model-06,0.502183908045977,synth_only,0.2,prop_127,0.5063879765948321,0.512279085902006,False,0.005891109307173847,0.005891109307173847
model-55,model-55,0.5201383238405207,synth_only,0.2,prop_127,0.5285582184139536,0.5340234233273436,False,0.005465204913390087,0.005465204913390087
model-28,model-28,0.4916529379461834,synth_only,0.2,prop_127,0.4920048016427018,0.4962325347242597,False,0.004227733081557938,0.004227733081557938
gemini-2.5-flash,gemini-2.5-flash,0.4651758279276203,synth_only,0.2,prop_127,0.4737665508018453,0.4787414335236855,False,0.004974882721840157,0.004974882721840157
gemini-2.5-pro,gemini-2.5-pro,0.5119755244755245,synth_only,0.2,prop_127,0.5196776379432875,0.524606018599769,False,0.00492838065648149,0.00492838065648149
gemini-3-flash-thinking-minimal,gemini-3-flash-thinking-minimal,0.5005739330063654,synth_only,0.2,prop_127,0.4942176918036166,0.4981851737271942,False,0.003967481923577598,0.003967481923577598
