task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3,Elo_truth,Elo_L,Elo_U,theta_L,theta_U,Elo_theta_L,Elo_theta_U,rank,rank_L,rank_U,rank_covered,n_models
minimax-m2.5,minimax-m2.5,-0.4920499293405324,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,9629,9629,-0.6431659505430141,-0.3513077855228108,True,0.2918581650202033,0.2918581650202033,-0.5429938976117246,-0.4440141948181319,-0.10017205293128956,0.09270640929532113,0.09897970279359264,0.07021131450893736,0.12266714771767334,-85.47782765339127,-111.72936930755631,-61.028413080883126,-0.519307834015672,-0.4647920246653927,-90.21301068885447,-80.74264461792806,74,73,74,True,74
model-71,model-71,0.1322268799303302,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,9531,9531,-0.06504116685738356,0.22619157106077906,True,0.2912327379181626,0.2912327379181626,0.03515181683471524,0.13093836142999749,-0.10019298369209881,0.09525320963078157,0.09578654459528224,0.070509738011275,0.12493645531160538,22.970161725210495,-11.298807945084139,39.293500465889444,0.10582817682227554,0.15862558303838484,18.38423728951835,27.556086160902638,28,16,52,True,74
qwen3.5-122b-a10b,qwen3.5-122b-a10b,-0.07529516190418056,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,5334,5334,-0.2132807709907209,0.11400313125788203,True,0.32728390224860293,0.32728390224860293,-0.11220854232056615,0.01599399679992148,-0.10107222867015475,0.09800913445796056,0.12820253912048762,0.07902535201652434,0.12005601111159096,-13.080109331599024,-37.05066477493649,19.804372329996117,-0.1106354692161159,-0.03995485459224522,-19.21934951333449,-6.94086914986356,54,32,68,True,74
qwen3.5-27b,qwen3.5-27b,-0.08561406725278693,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,5078,5078,-0.20697950706965568,0.12291995528204411,True,0.32989946235169976,0.32989946235169976,-0.10654802441531422,0.02481689294044246,-0.10043148265434146,0.09810306234160165,0.13136491735575667,0.07583871418685686,0.12269583080908625,-14.872686792471704,-35.956023114962626,21.353383317914492,-0.12184578593417397,-0.0493823485713999,-21.166780989750645,-8.578592595192763,57,30,68,True,74
qwen3.5-35b-a3b,qwen3.5-35b-a3b,-0.1646405601327268,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,5552,5552,-0.32151531784093945,0.0020856303314641667,True,0.3236009481724036,0.3236009481724036,-0.2233794477314324,-0.097129476655363,-0.09813587010950706,0.09921510698682717,0.1262499710760694,0.07254867206066083,0.1248023050356734,-28.600994705241504,-55.85293135427605,0.36231109769797504,-0.1994236934976097,-0.1298574267678439,-34.64344385871092,-22.55854555177209,66,46,72,True,74
qwen3.5-397b-a17b-text,qwen3.5-397b-a17b-text,0.08270916203730916,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,7991,7991,-0.01573610841700239,0.2927144719199557,True,0.3084505803369581,0.3084505803369581,0.08734501563787986,0.19202128869695925,-0.10308112405488225,0.10069318322299646,0.1046762730590794,0.07971923509956545,0.12405507217831326,14.368053070258114,-2.733642020854181,50.849711971224444,0.053896979022313725,0.1115213450523046,9.362864232258469,19.37324190825776,35,9,47,True,74
qwen3.5-flash,qwen3.5-flash,-0.18995811563392023,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,8359,8359,-0.3106274227473618,-0.007370412331556414,True,0.30325701041580544,0.30325701041580544,-0.20887131102680612,-0.10603218550665777,-0.10175611172055572,0.09866177317510136,0.10283912552014834,0.07856588965180955,0.12185199524384754,-32.99910456502055,-53.96151025080315,-1.2803717619786525,-0.21833643421825924,-0.16157979704958123,-37.92892343176893,-28.069285698272182,68,47,72,True,74
claude-sonnet-4-6,claude-sonnet-4-6,0.20953231618357362,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,9402,9402,0.04640238147977868,0.3351376921596809,True,0.2887353106799022,0.2887353106799022,0.14657055805602673,0.24323148053384622,-0.10016817657624805,0.09190621162583472,0.09666092247781949,0.0717272612497239,0.12034712695235888,36.399491479573385,8.060919289535011,58.21938015309605,0.1828940040712682,0.23617062829587904,31.771942696537064,41.0270402626097,17,6,40,True,74
gemini-3.1-pro-preview,gemini-3.1-pro-preview,0.30324143716566043,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,12324,12324,0.15213403005818654,0.42936712841973734,True,0.2772330983615508,0.2772330983615508,0.24995051682191893,0.33479121382858756,-0.09781648676373239,0.09457591459114975,0.08484069700666863,0.07122155997587844,0.1211708413790037,52.678433138183195,26.428387905589545,74.58870983333473,0.27985725478188456,0.3266256195494363,48.616184588945956,56.740681687420434,8,2,23,True,74
kimi-k2.5-instant-20260302,kimi-k2.5-instant-20260302,0.11495553039938437,alg1,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,8018,8018,-0.04944276176662267,0.25643072403552747,True,0.3058734858021501,0.3058734858021501,0.05338681743294303,0.15783370393962948,-0.1028295791995657,0.09859702009589799,0.10444688650668645,0.08009850813886499,0.1213280911565987,19.96982100668566,-8.58908744212052,44.54657937563406,0.08618312068152402,0.1437279401172447,14.97154149807516,24.968100515296157,32,13,51,True,74
