task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3,Elo_truth,Elo_L,Elo_U,theta_L,theta_U,Elo_theta_L,Elo_theta_U,rank,rank_L,rank_U,rank_covered,n_models
minimax-m2.5,minimax-m2.5,-0.4920499293405324,synth_only,0.15,0.15,0.0,0.0,prop_127,9629,9629,-0.5241280983494909,-0.4628799940803655,True,0.061248104269125414,0.061248104269125414,-0.5241280983494909,-0.4628799940803655,0.0,0.0,0.061248104269125414,0.0,0.0,-85.47782765339127,-91.05037636945151,-80.41049088500505,-0.5226679806672688,-0.4614318780137959,-90.79672794852414,-80.1589273582584,74,73,74,True,74
model-71,model-71,0.1322268799303302,synth_only,0.15,0.15,0.0,0.0,prop_127,9531,9531,0.05340899150138401,0.11268118676332872,False,0.059272195261944716,0.059272195261944716,0.05340899150138401,0.11268118676332872,0.0,0.0,0.059272195261944716,0.0,0.0,22.970161725210495,9.278092117227498,19.57472705024936,0.10257394598860736,0.16187981387205302,17.818919491957747,28.121403958463244,28,32,40,False,74
qwen3.5-122b-a10b,qwen3.5-122b-a10b,-0.07529516190418056,synth_only,0.15,0.15,0.0,0.0,prop_127,5334,5334,-0.087772791356558,-0.00844175416408667,True,0.07933103719247132,0.07933103719247132,-0.087772791356558,-0.00844175416408667,0.0,0.0,0.07933103719247132,0.0,0.0,-13.080109331599024,-15.24769557895943,-1.4664829004186557,-0.11499195283787075,-0.03559837097049037,-19.9761482323065,-6.18407043089155,54,47,58,True,74
qwen3.5-27b,qwen3.5-27b,-0.08561406725278693,synth_only,0.15,0.15,0.0,0.0,prop_127,5078,5078,-0.08150951560000946,-0.00022161587486229511,False,0.08128789972514716,0.08128789972514716,-0.08150951560000946,-0.00022161587486229511,0.0,0.0,0.08128789972514716,0.0,0.0,-14.872686792471704,-14.159653139076452,-0.038498620621942536,-0.12631215595269907,-0.04491597855287478,-21.942668931024073,-7.80270465391933,57,47,55,False,74
qwen3.5-35b-a3b,qwen3.5-35b-a3b,-0.1646405601327268,synth_only,0.15,0.15,0.0,0.0,prop_127,5552,5552,-0.19931586152173417,-0.12119306286506124,True,0.07812279865667293,0.07812279865667293,-0.19931586152173417,-0.12119306286506124,0.0,0.0,0.07812279865667293,0.0,0.0,-28.600994705241504,-34.62471152587273,-21.0533913789,-0.20371149296352578,-0.1255696273019278,-35.388310917732944,-21.813678492750064,66,63,68,True,74
qwen3.5-397b-a17b-text,qwen3.5-397b-a17b-text,0.08270916203730916,synth_only,0.15,0.15,0.0,0.0,prop_127,7991,7991,0.10729659661170332,0.1720697077231358,False,0.06477311111143247,0.06477311111143247,0.10729659661170332,0.1720697077231358,0.0,0.0,0.06477311111143247,0.0,0.0,14.368053070258114,18.63932793418476,29.89156982674529,0.050345232788079945,0.11507309128653836,8.745862715999115,19.99024342451711,35,22,33,False,74
qwen3.5-flash,qwen3.5-flash,-0.18995811563392023,synth_only,0.15,0.15,0.0,0.0,prop_127,8359,8359,-0.18926989534653638,-0.1256336011869275,False,0.06363629415960886,0.06363629415960886,-0.18926989534653638,-0.1256336011869275,0.0,0.0,0.06363629415960886,0.0,0.0,-32.99910456502055,-32.87954845576268,-21.82479189484658,-0.22183469695362207,-0.1580815343142184,-38.53663391265527,-27.461575217385843,68,62,68,True,74
claude-sonnet-4-6,claude-sonnet-4-6,0.20953231618357362,synth_only,0.15,0.15,0.0,0.0,prop_127,9402,9402,0.1649943915137982,0.22480764707607476,True,0.05981325556227657,0.05981325556227657,0.1649943915137982,0.22480764707607476,0.0,0.0,0.05981325556227657,0.0,0.0,36.399491479573385,28.66246151177091,39.05308824591719,0.17961023606653273,0.23945439630061452,31.201493766814234,41.59748919233253,17,16,21,True,74
gemini-3.1-pro-preview,gemini-3.1-pro-preview,0.30324143716566043,synth_only,0.15,0.15,0.0,0.0,prop_127,12324,12324,0.26612138331091595,0.31862034733959055,True,0.0524989640286746,0.0524989640286746,0.26612138331091595,0.31862034733959055,0.0,0.0,0.0524989640286746,0.0,0.0,52.678433138183195,46.23001931535637,55.350023468672646,0.2769746310779123,0.32950824325340855,48.11542156173049,57.2414447146359,8,8,10,True,74
kimi-k2.5-instant-20260302,kimi-k2.5-instant-20260302,0.11495553039938437,synth_only,0.15,0.15,0.0,0.0,prop_127,8018,8018,0.07329467670899656,0.13792584466357596,True,0.0646311679545794,0.0646311679545794,0.07329467670899656,0.13792584466357596,0.0,0.0,0.0646311679545794,0.0,0.0,19.96982100668566,12.73258945904,23.960173299694446,0.08263627739609662,0.14727478340267214,14.355391711260472,25.58425030211085,32,26,35,True,74
