task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
Midwest / Biden W139::co,Midwest / Biden W139,0.5818412506357744,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.19120751622654708,0.8669602864572797,True,0.6757527702307327,0.6757527702307327,,,,,,,
Midwest / Biden W139::opp,Midwest / Biden W139,0.052093252171457605,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.21852799291894334,True,0.21852799291894334,0.21852799291894334,,,,,,,
Northeast / Biden W139::co,Northeast / Biden W139,0.5868841718411586,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.2646709478400524,0.9307266210360634,True,0.666055673196011,0.666055673196011,,,,,,,
Northeast / Biden W139::opp,Northeast / Biden W139,0.07769587137150157,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1898544789635644,True,0.1898544789635644,0.1898544789635644,,,,,,,
South / Biden W149::co,South / Biden W149,0.5973836733356434,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.25825027279828194,0.8633484771260443,True,0.6050982043277624,0.6050982043277624,,,,,,,
South / Biden W149::opp,South / Biden W149,0.04417623574448207,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.16964637936356558,True,0.16964637936356558,0.16964637936356558,,,,,,,
South / Biden W139::co,South / Biden W139,0.6019429036435365,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.1895639279666233,0.8245194927375588,True,0.6349555647709355,0.6349555647709355,,,,,,,
South / Biden W139::opp,South / Biden W139,0.07191707580543531,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.19149574591224605,True,0.19149574591224605,0.19149574591224605,,,,,,,
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.2923151111624269,0.9176265139963495,True,0.6253114028339226,0.6253114028339226,,,,,,,
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1768941266602011,True,0.1768941266602011,0.1768941266602011,,,,,,,
South / Biden W156::co,South / Biden W156,0.6125975811257252,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.18614885050937285,0.8087863571856518,True,0.622637506676279,0.622637506676279,,,,,,,
South / Biden W156::opp,South / Biden W156,0.05688908643238294,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1736294360296999,True,0.1736294360296999,0.1736294360296999,,,,,,,
West / Biden W149::co,West / Biden W149,0.617940057909757,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.3539207679886389,0.9731297512014991,True,0.6192089832128602,0.6192089832128602,,,,,,,
West / Biden W149::opp,West / Biden W149,0.041799723221564535,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.17958502515348646,True,0.17958502515348646,0.17958502515348646,,,,,,,
Northeast / Biden W149::co,Northeast / Biden W149,0.6325217537821152,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.3574504655088506,0.9840558595811784,True,0.6266053940723277,0.6266053940723277,,,,,,,
Northeast / Biden W149::opp,Northeast / Biden W149,0.059883876544977066,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.17333063148981884,True,0.17333063148981884,0.17333063148981884,,,,,,,
Midwest / Biden W125::co,Midwest / Biden W125,0.6389222525942726,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.4165898951454947,1.0,True,0.5834101048545053,0.5834101048545053,,,,,,,
Midwest / Biden W125::opp,Midwest / Biden W125,0.04437702729880276,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.16870872562121655,True,0.16870872562121655,0.16870872562121655,,,,,,,
South / Biden W101::co,South / Biden W101,0.6510837476126963,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.41579347212883966,1.0,True,0.5842065278711603,0.5842065278711603,,,,,,,
South / Biden W101::opp,South / Biden W101,0.07323657587547298,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.18522354769995147,True,0.18522354769995147,0.18522354769995147,,,,,,,
West / Biden W139::co,West / Biden W139,0.6513233479175676,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.23234671507908244,0.8823571804684357,True,0.6500104653893533,0.6500104653893533,,,,,,,
West / Biden W139::opp,West / Biden W139,0.05865688887336611,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1736655231933025,True,0.1736655231933025,0.1736655231933025,,,,,,,
Northeast / Biden W125::co,Northeast / Biden W125,0.6593529718818238,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.45218549178763434,1.0,True,0.5478145082123657,0.5478145082123657,,,,,,,
Northeast / Biden W125::opp,Northeast / Biden W125,0.07563141632419919,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1929540382020965,True,0.1929540382020965,0.1929540382020965,,,,,,,
South / Biden W125::co,South / Biden W125,0.6648556113185049,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.3996765809174184,1.0,True,0.6003234190825816,0.6003234190825816,,,,,,,
South / Biden W125::opp,South / Biden W125,0.08063023397659777,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.18873083148683265,True,0.18873083148683265,0.18873083148683265,,,,,,,
Midwest / Biden W156::co,Midwest / Biden W156,0.6654436987529329,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.23064439109447354,0.8920294177708123,True,0.6613850266763388,0.6613850266763388,,,,,,,
Midwest / Biden W156::opp,Midwest / Biden W156,0.051092296193183055,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.17477136634889587,True,0.17477136634889587,0.17477136634889587,,,,,,,
Northeast / Biden W156::co,Northeast / Biden W156,0.6655235999153721,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.2700091594246834,0.9312265943471141,True,0.6612174349224307,0.6612174349224307,,,,,,,
Northeast / Biden W156::opp,Northeast / Biden W156,0.06378321587292908,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.1737109399305754,True,0.1737109399305754,0.1737109399305754,,,,,,,
Midwest / Biden W120::co,Midwest / Biden W120,0.6668643859716207,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.3060955176422564,0.9644604901212295,True,0.6583649724789731,0.6583649724789731,,,,,,,
Midwest / Biden W120::opp,Midwest / Biden W120,0.058363649294340306,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.18452170287723002,True,0.18452170287723002,0.18452170287723002,,,,,,,
Northeast / Biden W101::co,Northeast / Biden W101,0.6704634457221684,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.49565275722023083,1.0,True,0.5043472427797692,0.5043472427797692,,,,,,,
Northeast / Biden W101::opp,Northeast / Biden W101,0.09384845802475664,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0,0.16125895082648128,True,0.16125895082648128,0.16125895082648128,,,,,,,
