task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
Midwest / Biden W139::co,Midwest / Biden W139,0.5818412506357744,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.49156637923060137,0.5810045845629821,False,0.08943820533238073,0.08943820533238073,0.49156637923060137,0.5810045845629821,0.0,0.0,0.08943820533238073,0.0,0.0
Midwest / Biden W139::opp,Midwest / Biden W139,0.052093252171457605,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0017541943714455763,0.042406091724174144,False,0.04065189735272857,0.04065189735272857,0.0017541943714455763,0.042406091724174144,0.0,0.0,0.04065189735272857,0.0,0.0
Northeast / Biden W139::co,Northeast / Biden W139,0.5868841718411586,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5630223940239026,0.6467783359619698,True,0.08375594193806712,0.08375594193806712,0.5630223940239026,0.6467783359619698,0.0,0.0,0.08375594193806712,0.0,0.0
Northeast / Biden W139::opp,Northeast / Biden W139,0.07769587137150157,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.00033872627552467525,0.020848382095854677,False,0.02050965582033,0.02050965582033,0.00033872627552467525,0.020848382095854677,0.0,0.0,0.02050965582033,0.0,0.0
South / Biden W149::co,South / Biden W149,0.5973836733356434,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5439827828319591,0.5920191282021238,False,0.04803634537016466,0.04803634537016466,0.5439827828319591,0.5920191282021238,0.0,0.0,0.04803634537016466,0.0,0.0
South / Biden W149::opp,South / Biden W149,0.04417623574448207,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0016247866052305259,0.006251405062121257,False,0.004626618456890731,0.004626618456890731,0.0016247866052305259,0.006251405062121257,0.0,0.0,0.004626618456890731,0.0,0.0
South / Biden W139::co,South / Biden W139,0.6019429036435365,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.4814772741150585,0.5470093076988801,False,0.06553203358382165,0.06553203358382165,0.4814772741150585,0.5470093076988801,0.0,0.0,0.06553203358382165,0.0,0.0
South / Biden W139::opp,South / Biden W139,0.07191707580543531,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.004495660489970882,0.02314637242476201,False,0.018650711934791127,0.018650711934791127,0.004495660489970882,0.02314637242476201,0.0,0.0,0.018650711934791127,0.0,0.0
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5822319986985773,0.6421127875699557,True,0.059880788871378376,0.059880788871378376,0.5822319986985773,0.6421127875699557,0.0,0.0,0.059880788871378376,0.0,0.0
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0006635026769257401,0.011356157214769649,False,0.010692654537843908,0.010692654537843908,0.0006635026769257401,0.011356157214769649,0.0,0.0,0.010692654537843908,0.0,0.0
South / Biden W156::co,South / Biden W156,0.6125975811257252,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.47551220907668723,0.533826159728094,False,0.058313950651406765,0.058313950651406765,0.47551220907668723,0.533826159728094,0.0,0.0,0.058313950651406765,0.0,0.0
South / Biden W156::opp,South / Biden W156,0.05688908643238294,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0001832037393996195,0.008818341377834257,False,0.008635137638434638,0.008635137638434638,0.0001832037393996195,0.008818341377834257,0.0,0.0,0.008635137638434638,0.0,0.0
