task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
South / Biden W149::co,South / Biden W149,0.5973836733356434,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5439827828319591,0.5920191282021238,False,0.04803634537016466,0.04803634537016466,0.5439827828319591,0.5920191282021238,0.0,0.0,0.04803634537016466,0.0,0.0
South / Biden W149::opp,South / Biden W149,0.04417623574448207,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0016247866052305259,0.006251405062121257,False,0.004626618456890731,0.004626618456890731,0.0016247866052305259,0.006251405062121257,0.0,0.0,0.004626618456890731,0.0,0.0
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5822319986985773,0.6421127875699557,True,0.059880788871378376,0.059880788871378376,0.5822319986985773,0.6421127875699557,0.0,0.0,0.059880788871378376,0.0,0.0
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0006635026769257401,0.011356157214769649,False,0.010692654537843908,0.010692654537843908,0.0006635026769257401,0.011356157214769649,0.0,0.0,0.010692654537843908,0.0,0.0
South / Biden W156::co,South / Biden W156,0.6125975811257252,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.47551220907668723,0.533826159728094,False,0.058313950651406765,0.058313950651406765,0.47551220907668723,0.533826159728094,0.0,0.0,0.058313950651406765,0.0,0.0
South / Biden W156::opp,South / Biden W156,0.05688908643238294,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0001832037393996195,0.008818341377834257,False,0.008635137638434638,0.008635137638434638,0.0001832037393996195,0.008818341377834257,0.0,0.0,0.008635137638434638,0.0,0.0
West / Biden W149::co,West / Biden W149,0.617940057909757,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.6425743805727702,0.6988792997271245,False,0.056304919154354316,0.056304919154354316,0.6425743805727702,0.6988792997271245,0.0,0.0,0.056304919154354316,0.0,0.0
West / Biden W149::opp,West / Biden W149,0.041799723221564535,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0010190934081189575,0.013437415781400286,False,0.012418322373281328,0.012418322373281328,0.0010190934081189575,0.013437415781400286,0.0,0.0,0.012418322373281328,0.0,0.0
Northeast / Biden W149::co,Northeast / Biden W149,0.6325217537821152,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.647635224941907,0.7082742612578786,False,0.06063903631597167,0.06063903631597167,0.647635224941907,0.7082742612578786,0.0,0.0,0.06063903631597167,0.0,0.0
Northeast / Biden W149::opp,Northeast / Biden W149,0.059883876544977066,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.00017674689970862724,0.008595855185964797,False,0.00841910828625617,0.00841910828625617,0.00017674689970862724,0.008595855185964797,0.0,0.0,0.00841910828625617,0.0,0.0
Midwest / Biden W156::co,Midwest / Biden W156,0.6654436987529329,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5280289567416802,0.6090480132333623,False,0.08101905649168217,0.08101905649168217,0.5280289567416802,0.6090480132333623,0.0,0.0,0.08101905649168217,0.0,0.0
Midwest / Biden W156::opp,Midwest / Biden W156,0.051092296193183055,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,-0.002196202586292436,0.009041014951190049,False,0.011237217537482485,0.009041014951190049,-0.002196202586292436,0.009041014951190049,0.0,0.0,0.011237217537482485,0.0,0.0
Northeast / Biden W156::co,Northeast / Biden W156,0.6655235999153721,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5673590315440725,0.6482798833374815,False,0.08092085179340902,0.08092085179340902,0.5673590315440725,0.6482798833374815,0.0,0.0,0.08092085179340902,0.0,0.0
Northeast / Biden W156::opp,Northeast / Biden W156,0.06378321587292908,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,-0.0020198046528141595,0.008303465679665795,False,0.010323270332479956,0.008303465679665795,-0.0020198046528141595,0.008303465679665795,0.0,0.0,0.010323270332479956,0.0,0.0
West / Biden W156::co,West / Biden W156,0.6743041797622678,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.5352645321207756,0.6036896181882208,False,0.06842508606744513,0.06842508606744513,0.5352645321207756,0.6036896181882208,0.0,0.0,0.06842508606744513,0.0,0.0
West / Biden W156::opp,West / Biden W156,0.10109602804858463,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0037532706808635474,0.024534295869535733,False,0.020781025188672184,0.020781025188672184,0.0037532706808635474,0.024534295869535733,0.0,0.0,0.020781025188672184,0.0,0.0
