task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
Midwest / Biden W139::co,Midwest / Biden W139,0.5818412506357744,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.47099602207551516,0.9252740247318372,True,0.454278002656322,0.454278002656322,,,,,,,
Midwest / Biden W139::opp,Midwest / Biden W139,0.052093252171457605,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010877011301868751,0.20698816362958938,True,0.19611115232772064,0.19611115232772064,,,,,,,
Northeast / Biden W139::co,Northeast / Biden W139,0.5868841718411586,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5062609240004405,0.9367623289279283,True,0.4305014049274878,0.4305014049274878,,,,,,,
Northeast / Biden W139::opp,Northeast / Biden W139,0.07769587137150157,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010877011301868751,0.20698816362958938,True,0.19611115232772064,0.19611115232772064,,,,,,,
South / Biden W149::co,South / Biden W149,0.5973836733356434,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.47098421369249927,0.8985032538955527,True,0.4275190402030535,0.4275190402030535,,,,,,,
South / Biden W149::opp,South / Biden W149,0.04417623574448207,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010647040139959069,0.20766443251124425,True,0.19701739237128518,0.19701739237128518,,,,,,,
South / Biden W139::co,South / Biden W139,0.6019429036435365,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.41561999509104847,0.874139729398921,True,0.4585197343078726,0.4585197343078726,,,,,,,
South / Biden W139::opp,South / Biden W139,0.07191707580543531,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010877011301868751,0.20698816362958938,True,0.19611115232772064,0.19611115232772064,,,,,,,
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.4811609217892245,0.9191515507169837,True,0.43799062892775925,0.43799062892775925,,,,,,,
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010877011301868751,0.20698816362958938,True,0.19611115232772064,0.19611115232772064,,,,,,,
South / Biden W156::co,South / Biden W156,0.6125975811257252,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5166809940720696,0.9366283920291278,True,0.41994739795705827,0.41994739795705827,,,,,,,
South / Biden W156::opp,South / Biden W156,0.05688908643238294,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.010877011301868751,0.20698816362958938,True,0.19611115232772064,0.19611115232772064,,,,,,,
West / Biden W149::co,West / Biden W149,0.617940057909757,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5093960286446149,0.9370025033933544,True,0.4276064747487396,0.4276064747487396,,,,,,,
