task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
Midwest / Biden W139::co,Midwest / Biden W139,0.5818412506357744,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.8821779878047886,0.9517965712086291,False,0.06961858340384053,0.06961858340384053,0.8821779878047886,0.9517965712086291,0.0,0.0,0.06961858340384053,0.0,0.0
Midwest / Biden W139::opp,Midwest / Biden W139,0.052093252171457605,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast / Biden W139::co,Northeast / Biden W139,0.5868841718411586,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9138553950360474,0.9668723700983869,False,0.05301697506233949,0.05301697506233949,0.9138553950360474,0.9668723700983869,0.0,0.0,0.05301697506233949,0.0,0.0
Northeast / Biden W139::opp,Northeast / Biden W139,0.07769587137150157,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South / Biden W149::co,South / Biden W149,0.5973836733356434,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.8961552871897924,0.932266512623968,False,0.03611122543417555,0.03611122543417555,0.8961552871897924,0.932266512623968,0.0,0.0,0.03611122543417555,0.0,0.0
South / Biden W149::opp,South / Biden W149,0.04417623574448207,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0005395322726347495,False,0.0005395322726347495,0.0005395322726347495,0.0,0.0005395322726347495,0.0,0.0,0.0005395322726347495,0.0,0.0
South / Biden W139::co,South / Biden W139,0.6019429036435365,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.8454685597445362,0.9032254969711417,False,0.057756937226605576,0.057756937226605576,0.8454685597445362,0.9032254969711417,0.0,0.0,0.057756937226605576,0.0,0.0
South / Biden W139::opp,South / Biden W139,0.07191707580543531,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9079119845437099,0.9513348201882067,False,0.04342283564449678,0.04342283564449678,0.9079119845437099,0.9513348201882067,0.0,0.0,0.04342283564449678,0.0,0.0
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South / Biden W156::co,South / Biden W156,0.6125975811257252,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9407096321927946,0.9715340861341113,False,0.03082445394131672,0.03082445394131672,0.9407096321927946,0.9715340861341113,0.0,0.0,0.03082445394131672,0.0,0.0
South / Biden W156::opp,South / Biden W156,0.05688908643238294,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West / Biden W149::co,West / Biden W149,0.617940057909757,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9345802945663361,0.9707525696973417,False,0.03617227513100563,0.03617227513100563,0.9345802945663361,0.9707525696973417,0.0,0.0,0.03617227513100563,0.0,0.0
West / Biden W149::opp,West / Biden W149,0.041799723221564535,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast / Biden W149::co,Northeast / Biden W149,0.6325217537821152,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9274428787487036,0.9686495108046321,False,0.04120663205592856,0.04120663205592856,0.9274428787487036,0.9686495108046321,0.0,0.0,0.04120663205592856,0.0,0.0
Northeast / Biden W149::opp,Northeast / Biden W149,0.059883876544977066,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midwest / Biden W125::co,Midwest / Biden W125,0.6389222525942726,synth_only,0.1,0.1,0.0,0.0,bonf_split,co,,,0.9098868260935146,0.9671865316021523,False,0.05729970550863772,0.05729970550863772,0.9098868260935146,0.9671865316021523,0.0,0.0,0.05729970550863772,0.0,0.0
Midwest / Biden W125::opp,Midwest / Biden W125,0.04437702729880276,synth_only,0.1,0.1,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
