task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
South / Biden W149::co,South / Biden W149,0.5973836733356434,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.4531575752592899,0.9039965030260998,True,0.4508389277668099,0.4508389277668099,,,,,,,
South / Biden W149::opp,South / Biden W149,0.04417623574448207,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.002077326938205449,0.24601562416189657,True,0.24393829722369112,0.24393829722369112,,,,,,,
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.4633342833560151,0.9246447998475308,True,0.46131051649151567,0.46131051649151567,,,,,,,
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
South / Biden W156::co,South / Biden W156,0.6125975811257252,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.49885435563886027,0.9421216411596749,True,0.4432672855208146,0.4432672855208146,,,,,,,
South / Biden W156::opp,South / Biden W156,0.05688908643238294,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
West / Biden W149::co,West / Biden W149,0.617940057909757,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.49156939021140555,0.9424957525239015,True,0.45092636231249594,0.45092636231249594,,,,,,,
West / Biden W149::opp,West / Biden W149,0.041799723221564535,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
Northeast / Biden W149::co,Northeast / Biden W149,0.6325217537821152,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.48334408408925156,0.9414805839357134,True,0.4581364998464619,0.4581364998464619,,,,,,,
Northeast / Biden W149::opp,Northeast / Biden W149,0.059883876544977066,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
Midwest / Biden W156::co,Midwest / Biden W156,0.6654436987529329,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5068598140568173,0.9538317737576273,True,0.44697195970080994,0.44697195970080994,,,,,,,
Midwest / Biden W156::opp,Midwest / Biden W156,0.051092296193183055,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
Northeast / Biden W156::co,Northeast / Biden W156,0.6655235999153721,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5224880967872807,0.9631167783335886,True,0.44062868154630785,0.44062868154630785,,,,,,,
Northeast / Biden W156::opp,Northeast / Biden W156,0.06378321587292908,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
West / Biden W156::co,West / Biden W156,0.6743041797622678,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,co,,,0.5255589408916701,0.9642450884563362,True,0.43868614756466606,0.43868614756466606,,,,,,,
West / Biden W156::opp,West / Biden W156,0.10109602804858463,multidim_alg1,0.2,0.005000000000000001,0.010000000000000002,0.085,bonf_split,opp,,,0.0023072981001151308,0.2453393552802417,True,0.24303205718012658,0.24303205718012658,,,,,,,
