task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,coord,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
South / Biden W149::co,South / Biden W149,0.5973836733356434,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.8990581520509024,0.929363647762858,False,0.03030549571195551,0.03030549571195551,0.8990581520509024,0.929363647762858,0.0,0.0,0.03030549571195551,0.0,0.0
South / Biden W149::opp,South / Biden W149,0.04417623574448207,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,-4.236847008552122e-05,0.0004886661898306939,False,0.0005310346599162151,0.0004886661898306939,-4.236847008552122e-05,0.0004886661898306939,0.0,0.0,0.0005310346599162151,0.0,0.0
Midwest / Biden W149::co,Midwest / Biden W149,0.6099585279779819,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.9114026061508866,0.94784419858103,False,0.03644159243014333,0.03644159243014333,0.9114026061508866,0.94784419858103,0.0,0.0,0.03644159243014333,0.0,0.0
Midwest / Biden W149::opp,Midwest / Biden W149,0.039139143758850796,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South / Biden W156::co,South / Biden W156,0.6125975811257252,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.943187510557024,0.9690562077698819,False,0.025868697212857894,0.025868697212857894,0.943187510557024,0.9690562077698819,0.0,0.0,0.025868697212857894,0.0,0.0
South / Biden W156::opp,South / Biden W156,0.05688908643238294,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West / Biden W149::co,West / Biden W149,0.617940057909757,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.937488067015532,0.9678447972481458,False,0.03035673023261376,0.03035673023261376,0.937488067015532,0.9678447972481458,0.0,0.0,0.03035673023261376,0.0,0.0
West / Biden W149::opp,West / Biden W149,0.041799723221564535,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast / Biden W149::co,Northeast / Biden W149,0.6325217537821152,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.9307553469023497,0.965337042650986,False,0.03458169574863623,0.03458169574863623,0.9307553469023497,0.965337042650986,0.0,0.0,0.03458169574863623,0.0,0.0
Northeast / Biden W149::opp,Northeast / Biden W149,0.059883876544977066,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midwest / Biden W156::co,Midwest / Biden W156,0.6654436987529329,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.9519598815092859,0.9799994278335294,False,0.028039546324243547,0.028039546324243547,0.9519598815092859,0.9799994278335294,0.0,0.0,0.028039546324243547,0.0,0.0
Midwest / Biden W156::opp,Midwest / Biden W156,0.051092296193183055,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northeast / Biden W156::co,Northeast / Biden W156,0.6655235999153721,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.9662750286470058,0.9905975680022342,False,0.024322539355228434,0.024322539355228434,0.9662750286470058,0.9905975680022342,0.0,0.0,0.024322539355228434,0.0,0.0
Northeast / Biden W156::opp,Northeast / Biden W156,0.06378321587292908,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West / Biden W156::co,West / Biden W156,0.6743041797622678,synth_only,0.2,0.2,0.0,0.0,bonf_split,co,,,0.9689437446325774,0.9921280062437995,False,0.023184261611222112,0.023184261611222112,0.9689437446325774,0.9921280062437995,0.0,0.0,0.023184261611222112,0.0,0.0
West / Biden W156::opp,West / Biden W156,0.10109602804858463,synth_only,0.2,0.2,0.0,0.0,bonf_split,opp,,,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
