task_id,label,theta,algo,alpha,alpha1,alpha2,alpha3,alloc,n_j,N_j,L,U,covered,width,width_clip,L_tilde,U_tilde,delta_L,delta_U,W1,W2,W3
rep0000,0.25,0.2478634861040341,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.34078846958046666,0.3682115304195333,False,0.02742306083906665,0.02742306083906665,0.34078846958046666,0.3682115304195333,0.0,0.0,0.02742306083906665,0.0,0.0
rep0001,0.37,0.3686079524634063,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.4148134632100224,0.4431865367899776,False,0.02837307357995522,0.02837307357995522,0.4148134632100224,0.4431865367899776,0.0,0.0,0.02837307357995522,0.0,0.0
rep0002,0.17,0.17032800314766197,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.3586420275996049,0.3863579724003951,False,0.027715944800790204,0.027715944800790204,0.3586420275996049,0.3863579724003951,0.0,0.0,0.027715944800790204,0.0,0.0
rep0003,0.41,0.4119903665842383,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.5683646719099882,0.5966353280900119,False,0.028270656180023668,0.028270656180023668,0.5683646719099882,0.5966353280900119,0.0,0.0,0.028270656180023668,0.0,0.0
rep0004,0.36,0.36322332650332373,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.3170168703367484,0.3439831296632516,False,0.026966259326503206,0.026966259326503206,0.3170168703367484,0.3439831296632516,0.0,0.0,0.026966259326503206,0.0,0.0
rep0005,0.28,0.27660752268158256,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.3229561328146944,0.35004386718530567,False,0.027087734370611294,0.027087734370611294,0.3229561328146944,0.35004386718530567,0.0,0.0,0.027087734370611294,0.0,0.0
rep0006,0.40,0.39522788491940364,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.45769072437866287,0.4863092756213371,False,0.028618551242674206,0.028618551242674206,0.45769072437866287,0.4863092756213371,0.0,0.0,0.028618551242674206,0.0,0.0
rep0007,0.34,0.34221851206383785,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.4227824552345899,0.4512175447654101,False,0.02843508953082019,0.02843508953082019,0.4227824552345899,0.4512175447654101,0.0,0.0,0.02843508953082019,0.0,0.0
rep0008,0.89,0.8876454917096256,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.8753384364351642,0.8936615635648357,True,0.018323127129671546,0.018323127129671546,0.8753384364351642,0.8936615635648357,0.0,0.0,0.018323127129671546,0.0,0.0
rep0009,0.13,0.13218242080353054,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.21450241181916194,0.23849758818083808,False,0.02399517636167614,0.02399517636167614,0.21450241181916194,0.23849758818083808,0.0,0.0,0.02399517636167614,0.0,0.0
rep0010,0.32,0.32181545181669885,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.43923034683831363,0.4677696531616864,False,0.02853930632337276,0.02853930632337276,0.43923034683831363,0.4677696531616864,0.0,0.0,0.02853930632337276,0.0,0.0
rep0011,0.29,0.2854083438878526,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.44322010188253547,0.47177989811746457,False,0.028559796234929102,0.028559796234929102,0.44322010188253547,0.47177989811746457,0.0,0.0,0.028559796234929102,0.0,0.0
rep0012,0.44,0.43703005404805023,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.48666826318806605,0.5153317368119339,False,0.02866347362386784,0.02866347362386784,0.48666826318806605,0.5153317368119339,0.0,0.0,0.02866347362386784,0.0,0.0
rep0013,0.62,0.6208052270470665,synth_only,0.2,0.020000000000000004,0.04000000000000001,0.13999999999999999,prop_127,1000,2000,0.48416829901759617,0.5128317009824038,False,0.028663401964807655,0.028663401964807655,0.48416829901759617,0.5128317009824038,0.0,0.0,0.028663401964807655,0.0,0.0
